MMSI,BaseDateTime,LAT,LON,Heading,VesselName,CallSign,VesselType,Length,Width
305350000,2022-01-29T00:00:09,23.51204,-82.58731,69.0,K-STORM,V2DV8,70.0,139.0,22.0
565132000,2022-01-29T00:00:00,33.64337,-118.22168,219.0,WAN HAI 313,S6AS9,70.0,212.0,32.0
305140000,2022-01-29T00:00:07,24.37994,-80.38482,57.0,TUCANA J,V2CX7,70.0,139.0,22.0
255806338,2022-01-29T00:00:01,31.00739,-117.55386,332.0,MSC AURIGA,CQEB7,70.0,366.0,51.0
255806338,2022-01-29T00:00:05,31.77829,-117.67292,26.0,MSC AURIGA,CQEB7,70.0,366.0,51.0
354202000,2022-01-29T00:00:00,33.75128,-118.27362,331.0,MSC ORNELLA,H3RF,70.0,294.0,32.0
354202000,2022-01-29T00:00:01,33.75113,-118.27353,330.0,MSC ORNELLA,H3RF,70.0,294.0,32.0
219027000,2022-01-29T00:00:07,30.79281,-118.24016,40.0,MAERSK EINDHOVEN,OXFG2,71.0,366.0,48.0
257613000,2022-01-29T00:00:04,36.18767,-75.33132,337.0,TALISMAN,LAOW5,70.0,240.0,32.0
636017683,2022-01-29T00:00:11,18.21407,-68.00113,48.0,PERITO MORENO,D5MF6,79.0,175.0,27.0
355068000,2022-01-29T00:00:12,26.06101,-80.13045,9.0,CARIBBEAN EXPRESS I,HO2570,70.0,57.0,11.0
563262000,2022-01-29T00:00:12,31.10428,-81.45085,92.0,BOHEME,9V8514,70.0,227.0,32.0
368106220,2022-01-29T00:00:27,38.53932,-90.25525,32.0,CHARLIE T,WDK9723,70.0,20.0,10.0
477002200,2022-01-29T00:00:02,34.01776,-76.53483,232.0,YM WIND,VRPE6,71.0,368.0,51.0
432669000,2022-01-29T00:01:08,46.15283,-123.25782,57.0,HESTIA LEADER,7JDY,70.0,199.0,32.0
255805678,2022-01-29T00:00:15,31.76635,-79.5544,179.0,BUXCLIFF,CQEC,70.0,299.0,40.0
636018268,2022-01-29T00:00:16,29.27837,-94.47847,325.0,MSC JEANNE,D5OY3,74.0,195.0,32.0
477230300,2022-01-29T00:00:07,29.92666,-90.18588,248.0,CL JUDY,VRSE3,70.0,199.0,32.0
636012871,2022-01-29T00:00:06,39.85341,-75.23435,256.0,JALMA TOPIC,A8IQ6,70.0,189.0,32.0
563217000,2022-01-29T00:00:12,27.5953,-82.94638,265.0,FOOCHOW,9V2715,70.0,179.0,
255806339,2022-01-29T00:00:00,31.10416,-117.7695,64.0,MSC ORION,CQEB8,74.0,366.0,51.0
636017112,2022-01-29T00:00:02,37.75726,-74.6554,178.0,POMERENIA SKY,A8MG6,70.0,208.0,29.0
431777000,2022-01-29T00:00:08,34.05174,-119.32318,102.0,APHRODITE LEADER,7KCW,70.0,200.0,32.0
538009664,2022-01-29T00:00:04,37.79359,-122.29309,75.0,DRY BEAM NEO,V7A5013,70.0,183.0,31.0
